Frame_Ke,Label_Biner,Status,Lutut_Kanan_X (idx26),Lutut_Kanan_Y (idx26),Lutut_Kanan_Z (idx26),Nose_X (idx0),Nose_Y (idx0),Nose_Z (idx0),Left_Eye_Inner_X (idx1),Left_Eye_Inner_Y (idx1),Left_Eye_Inner_Z (idx1),Left_Eye_X (idx2),Left_Eye_Y (idx2),Left_Eye_Z (idx2),Left_Eye_Outer_X (idx3),Left_Eye_Outer_Y (idx3),Left_Eye_Outer_Z (idx3),Right_Eye_Inner_X (idx4),Right_Eye_Inner_Y (idx4),Right_Eye_Inner_Z (idx4),Right_Eye_X (idx5),Right_Eye_Y (idx5),Right_Eye_Z (idx5),Right_Eye_Outer_X (idx6),Right_Eye_Outer_Y (idx6),Right_Eye_Outer_Z (idx6),Left_Ear_X (idx7),Left_Ear_Y (idx7),Left_Ear_Z (idx7),Right_Ear_X (idx8),Right_Ear_Y (idx8),Right_Ear_Z (idx8),Mouth_Left_X (idx9),Mouth_Left_Y (idx9),Mouth_Left_Z (idx9),Mouth_Right_X (idx10),Mouth_Right_Y (idx10),Mouth_Right_Z (idx10),Left_Shoulder_X (idx11),Left_Shoulder_Y (idx11),Left_Shoulder_Z (idx11),Right_Shoulder_X (idx12),Right_Shoulder_Y (idx12),Right_Shoulder_Z (idx12),Left_Elbow_X (idx13),Left_Elbow_Y (idx13),Left_Elbow_Z (idx13),Right_Elbow_X (idx14),Right_Elbow_Y (idx14),Right_Elbow_Z (idx14),Left_Wrist_X (idx15),Left_Wrist_Y (idx15),Left_Wrist_Z (idx15),Right_Wrist_X (idx16),Right_Wrist_Y (idx16),Right_Wrist_Z (idx16),Left_Pinky_X (idx17),Left_Pinky_Y (idx17),Left_Pinky_Z (idx17),Right_Pinky_X (idx18),Right_Pinky_Y (idx18),Right_Pinky_Z (idx18),Left_Index_X (idx19),Left_Index_Y (idx19),Left_Index_Z (idx19),Right_Index_X (idx20),Right_Index_Y (idx20),Right_Index_Z (idx20),Left_Thumb_X (idx21),Left_Thumb_Y (idx21),Left_Thumb_Z (idx21),Right_Thumb_X (idx22),Right_Thumb_Y (idx22),Right_Thumb_Z (idx22),Left_Hip_X (idx23),Left_Hip_Y (idx23),Left_Hip_Z (idx23),Right_Hip_X (idx24),Right_Hip_Y (idx24),Right_Hip_Z (idx24),Left_Knee_X (idx25),Left_Knee_Y (idx25),Left_Knee_Z (idx25),Right_Knee_X (idx26),Right_Knee_Y (idx26),Right_Knee_Z (idx26),Left_Ankle_X (idx27),Left_Ankle_Y (idx27),Left_Ankle_Z (idx27),Right_Ankle_X (idx28),Right_Ankle_Y (idx28),Right_Ankle_Z (idx28),Left_Heel_X (idx29),Left_Heel_Y (idx29),Left_Heel_Z (idx29),Right_Heel_X (idx30),Right_Heel_Y (idx30),Right_Heel_Z (idx30),Left_Foot_Index_X (idx31),Left_Foot_Index_Y (idx31),Left_Foot_Index_Z (idx31),Right_Foot_Index_X (idx32),Right_Foot_Index_Y (idx32),Right_Foot_Index_Z (idx32)
11,0,BENAR,-1.01648,0.69208,-1.21717,0.0968,-1.33525,-3.01713,0.17088,-1.40895,-2.74987,0.23643,-1.40639,-2.75308,0.28622,-1.40481,-2.75263,0.0095,-1.41705,-2.77655,-0.05372,-1.41934,-2.78013,-0.09788,-1.42027,-2.7818,0.34406,-1.3805,-1.19131,-0.19403,-1.39116,-1.30487,0.1917,-1.25677,-2.40489,-0.00882,-1.25187,-2.46149,0.67399,-0.95489,-0.30219,-0.5783,-0.96358,-0.24686,0.95971,-0.5209,-1.08865,-0.95337,-0.52552,-1.11885,1.40772,-0.86645,-3.50145,-1.38694,-0.86603,-3.28859,1.52223,-0.94244,-3.94634,-1.46764,-0.95671,-3.73102,1.46373,-0.9934,-4.11522,-1.44155,-0.98859,-3.88763,1.3954,-0.96511,-3.62722,-1.39656,-0.96139,-3.4301,0.39083,0.00192,-0.03504,-0.39083,-0.00192,0.03504,0.95933,0.69729,-1.06373,-1.01648,0.69208,-1.21717,0.81057,1.30033,1.27109,-0.80907,1.27448,1.35833,0.6987,1.38391,1.44048,-0.68575,1.36703,1.58623,1.22731,1.61831,0.37262,-1.31981,1.56912,0.57736
12,0,BENAR,-1.08422,0.71651,-1.31448,0.10604,-1.34106,-3.12207,0.18192,-1.41667,-2.84607,0.24985,-1.41358,-2.84933,0.30015,-1.4112,-2.84886,0.01595,-1.42356,-2.87193,-0.04924,-1.42506,-2.8756,-0.0942,-1.42561,-2.87732,0.3589,-1.38548,-1.23075,-0.1936,-1.39813,-1.34039,0.20289,-1.25867,-2.48736,-0.00272,-1.25611,-2.54377,0.6894,-0.94692,-0.28038,-0.5871,-0.96945,-0.25484,0.98636,-0.51451,-1.00333,-0.9751,-0.52364,-1.16373,1.44059,-0.86899,-3.3968,-1.41365,-0.87068,-3.44326,1.56775,-0.95219,-3.82803,-1.50332,-0.96747,-3.90182,1.49829,-0.9938,-4.025,-1.47685,-1.00452,-4.0501,1.41852,-0.96164,-3.52854,-1.42193,-0.97542,-3.58378,0.40042,0.00292,-0.0352,-0.40042,-0.00292,0.0352,1.04739,0.70956,-1.16641,-1.08422,0.71651,-1.31448,0.83903,1.31598,1.26475,-0.82599,1.28733,1.34658,0.72084,1.40094,1.44122,-0.69575,1.3791,1.57908,1.27912,1.64948,0.35517,-1.35187,1.59611,0.64207
13,0,BENAR,-1.02818,0.66159,-1.15932,0.10213,-1.17919,-3.19653,0.17538,-1.25141,-2.95167,0.23701,-1.24952,-2.95463,0.28232,-1.24677,-2.95427,0.02435,-1.25669,-2.97285,-0.03452,-1.25901,-2.97615,-0.07496,-1.25997,-2.97766,0.33616,-1.22119,-1.52156,-0.16512,-1.23689,-1.60752,0.1891,-1.10345,-2.60669,0.00383,-1.10613,-2.65456,0.6269,-0.83676,-0.53077,-0.52048,-0.85106,-0.53525,0.90392,-0.44903,-0.72175,-0.86979,-0.43979,-1.07017,1.31037,-0.76312,-2.25807,-1.25444,-0.75228,-2.68349,1.43147,-0.84421,-2.53964,-1.35666,-0.84255,-3.00647,1.36502,-0.88269,-2.72961,-1.33096,-0.87706,-3.14339,1.28681,-0.85546,-2.36782,-1.27823,-0.84713,-2.79584,0.35998,0.00509,-0.03044,-0.35998,-0.00509,0.03044,1.00336,0.65544,-1.0829,-1.02818,0.66159,-1.15932,0.77177,1.17616,1.18732,-0.74012,1.14787,1.31769,0.66173,1.25513,1.35409,-0.61814,1.2293,1.54614,1.2005,1.48029,0.34581,-1.21766,1.43078,0.70896
14,0,BENAR,-1.11014,0.67535,-1.17427,0.09998,-1.17925,-3.2149,0.18166,-1.25145,-2.97498,0.24444,-1.24938,-2.97821,0.29081,-1.24604,-2.97796,0.02447,-1.25823,-2.99036,-0.03349,-1.261,-2.99387,-0.07512,-1.26239,-2.9958,0.34841,-1.22025,-1.58508,-0.16556,-1.23655,-1.64836,0.18885,-1.10138,-2.63832,-0.00207,-1.10359,-2.67815,0.64063,-0.82387,-0.52907,-0.52552,-0.86059,-0.53715,0.93494,-0.42443,-0.33609,-0.87209,-0.43406,-0.86589,1.3427,-0.76877,-1.16745,-1.26613,-0.75178,-2.25553,1.48094,-0.86426,-1.31685,-1.38733,-0.84786,-2.54363,1.40067,-0.89891,-1.52057,-1.35982,-0.88486,-2.68941,1.31446,-0.86891,-1.26271,-1.29722,-0.85133,-2.36519,0.36903,0.00576,-0.02905,-0.36903,-0.00576,0.02905,1.07113,0.67573,-1.12706,-1.11014,0.67535,-1.17427,0.79356,1.18176,1.25629,-0.76263,1.14734,1.40104,0.68075,1.26402,1.44144,-0.62906,1.22747,1.65226,1.24473,1.49256,0.51957,-1.25879,1.43961,0.81841
15,0,BENAR,-1.2676,0.72382,-1.29281,0.10352,-1.25467,-3.38888,0.20078,-1.33558,-3.13457,0.27056,-1.33571,-3.13826,0.32171,-1.3334,-3.13808,0.02379,-1.34122,-3.13491,-0.03525,-1.34476,-3.13886,-0.0823,-1.34927,-3.1415,0.38813,-1.31143,-1.68539,-0.17767,-1.32475,-1.66812,0.20519,-1.17218,-2.78416,-0.00642,-1.17397,-2.80828,0.70856,-0.89083,-0.42312,-0.56573,-0.92964,-0.39159,1.04759,-0.4557,0.19013,-0.94549,-0.46205,-0.03037,1.4801,-0.8218,-0.0901,-1.389,-0.80893,-0.6799,1.64307,-0.93672,-0.13431,-1.51963,-0.92137,-0.8389,1.54454,-0.97594,-0.35578,-1.4866,-0.96939,-0.96256,1.44243,-0.93774,-0.17502,-1.41586,-0.92706,-0.76186,0.40783,0.00726,-0.03093,-0.40783,-0.00726,0.03093,1.22088,0.7423,-1.22646,-1.2676,0.72382,-1.29281,0.87767,1.26482,1.5108,-0.84772,1.22665,1.5583,0.75399,1.35335,1.75065,-0.69086,1.31211,1.85229,1.37437,1.61196,0.85897,-1.39495,1.55239,1.02504
16,0,BENAR,-1.43461,0.77914,-1.41176,0.11042,-1.35681,-2.7634,0.22088,-1.44839,-2.52777,0.29793,-1.44907,-2.53158,0.35459,-1.44761,-2.53128,0.02462,-1.45222,-2.53825,-0.03729,-1.45388,-2.54252,-0.08826,-1.45836,-2.5451,0.43122,-1.42842,-1.08124,-0.19135,-1.43544,-1.12524,0.22428,-1.27212,-2.16977,-0.00667,-1.2699,-2.21163,0.78032,-0.98,0.07394,-0.61857,-1.00541,0.10482,1.1609,-0.51716,0.84834,-1.03875,-0.51312,0.27917,1.63776,-0.89719,0.60403,-1.52663,-0.87962,-0.59499,1.81378,-1.02187,0.57072,-1.6695,-0.98705,-0.7875,1.70498,-1.06563,0.36253,-1.62075,-1.04732,-0.89204,1.59297,-1.02213,0.52496,-1.53994,-1.00544,-0.67766,0.45069,0.00881,-0.02481,-0.45069,-0.00881,0.02481,1.39115,0.79184,-1.32657,-1.43461,0.77914,-1.41176,0.97001,1.34747,1.67193,-0.94006,1.30587,1.71946,0.83207,1.44228,1.9271,-0.76533,1.39922,2.03808,1.51843,1.73642,1.05243,-1.53812,1.67332,1.15967
17,0,BENAR,-1.48212,0.75339,-1.47249,0.10709,-1.34702,-2.71864,0.21817,-1.44277,-2.49976,0.29615,-1.44326,-2.50357,0.35284,-1.44184,-2.50326,0.02045,-1.44539,-2.51881,-0.04219,-1.44685,-2.52316,-0.09258,-1.45051,-2.52572,0.43032,-1.42462,-1.0723,-0.19664,-1.42818,-1.16532,0.22132,-1.26368,-2.13374,-0.0092,-1.2595,-2.18867,0.77869,-0.98262,0.05683,-0.62991,-1.00951,0.03455,1.16884,-0.5311,1.17801,-1.05435,-0.5272,0.56639,1.65617,-0.93332,1.97801,-1.53718,-0.90328,0.5133,1.80872,-1.05406,2.14568,-1.69253,-0.99029,0.48017,1.71209,-1.09213,1.93507,-1.63873,-1.0512,0.40253,1.60124,-1.04654,1.92869,-1.55329,-1.01862,0.46473,0.45472,0.00801,-0.0055,-0.45472,-0.00801,0.0055,1.43312,0.78331,-1.10118,-1.48212,0.75339,-1.47249,0.97087,1.30602,1.88602,-0.96041,1.26523,1.56242,0.83061,1.38702,2.16272,-0.78233,1.35813,1.869,1.52313,1.70042,1.49693,-1.55612,1.64219,1.22857
18,0,BENAR,-1.53782,0.76036,-1.49777,0.10491,-1.33182,-2.76921,0.21762,-1.43018,-2.55477,0.29723,-1.4302,-2.55867,0.35396,-1.42834,-2.55837,0.01678,-1.43216,-2.57283,-0.04697,-1.4337,-2.57731,-0.09773,-1.4366,-2.57997,0.43218,-1.40889,-1.12194,-0.20236,-1.41533,-1.21888,0.22044,-1.24998,-2.17809,-0.013,-1.24639,-2.2328,0.77811,-0.97866,0.03428,-0.63921,-1.0156,0.00995,1.17972,-0.5002,1.20299,-1.07606,-0.52736,0.56406,1.68432,-0.93943,2.062,-1.5695,-0.88718,0.35103,1.82921,-1.06534,2.2401,-1.7338,-0.98998,0.29315,1.73928,-1.10965,2.01446,-1.66304,-1.05535,0.2208,1.6274,-1.05874,2.00957,-1.57672,-1.01449,0.3008,0.45945,0.0049,0.00089,-0.45945,-0.0049,-0.00089,1.48558,0.79593,-1.02299,-1.53782,0.76036,-1.49777,0.97682,1.29305,2.07495,-0.98357,1.25898,1.61311,0.83219,1.35469,2.37192,-0.80107,1.3481,1.93605,1.51988,1.69101,1.76095,-1.57557,1.64589,1.325
19,0,BENAR,-1.57414,0.73623,-1.48062,0.10519,-1.31655,-3.14807,0.21876,-1.42013,-2.94036,0.29958,-1.41909,-2.94441,0.355,-1.41596,-2.94414,0.01801,-1.42159,-2.96671,-0.0479,-1.42411,-2.97101,-0.09801,-1.4269,-2.97364,0.43264,-1.39306,-1.46231,-0.20554,-1.408,-1.58767,0.22166,-1.22994,-2.53098,-0.01333,-1.23319,-2.59647,0.77745,-0.97538,-0.17078,-0.64723,-0.98348,-0.21118,1.16731,-0.49817,1.17782,-1.0917,-0.52295,0.55342,1.69238,-0.89009,1.99956,-1.58839,-0.89007,0.14236,1.83068,-1.02101,2.17015,-1.75254,-0.9917,0.04892,1.73589,-1.06848,1.92684,-1.66297,-1.06468,-0.02069,1.62897,-1.01789,1.94028,-1.57546,-1.02085,0.08824,0.46507,0.00034,0.00226,-0.46507,-0.00034,-0.00226,1.52112,0.78433,-1.01082,-1.57414,0.73623,-1.48062,0.97905,1.24949,2.2381,-0.9982,1.21885,1.80078,0.83176,1.30727,2.5483,-0.81229,1.30326,2.16008,1.51047,1.64641,1.92126,-1.5853,1.6095,1.48938
20,0,BENAR,-1.62197,0.71586,-1.50437,0.10523,-1.30299,-3.1778,0.21808,-1.41069,-2.97685,0.30061,-1.41036,-2.98083,0.3559,-1.40864,-2.98053,0.01677,-1.41391,-3.00305,-0.05096,-1.41781,-3.00734,-0.10078,-1.42157,-3.00993,0.43153,-1.39208,-1.48757,-0.21356,-1.40653,-1.61509,0.22482,-1.21855,-2.56597,-0.01408,-1.2213,-2.63126,0.78473,-0.97458,-0.17379,-0.66333,-0.98353,-0.21489,1.18085,-0.49019,1.38988,-1.11636,-0.50698,0.71503,1.69483,-0.89583,2.54267,-1.62366,-0.87336,0.79469,1.83316,-1.01112,2.7617,-1.76717,-0.97924,0.79271,1.74522,-1.05985,2.51432,-1.68534,-1.04994,0.70012,1.63979,-1.01819,2.49018,-1.60669,-1.01162,0.7485,0.46923,0.00134,0.00463,-0.46923,-0.00134,-0.00463,1.57167,0.76667,-0.98367,-1.62197,0.71586,-1.50437,0.99031,1.22858,2.31347,-1.02175,1.203,1.73892,0.83722,1.27975,2.64036,-0.83137,1.28692,2.09134,1.50988,1.63503,2.12902,-1.61792,1.60322,1.4912
21,0,BENAR,-1.61156,0.68575,-1.5193,0.10116,-1.25403,-3.17244,0.21283,-1.36056,-2.98198,0.29477,-1.35969,-2.98583,0.34898,-1.35688,-2.98552,0.0152,-1.36347,-3.00747,-0.05208,-1.36761,-3.01169,-0.10013,-1.37093,-3.0142,0.42168,-1.34215,-1.56439,-0.2117,-1.35841,-1.69558,0.2209,-1.17064,-2.5769,-0.01583,-1.17574,-2.64043,0.77397,-0.93981,-0.29949,-0.66011,-0.95458,-0.30088,1.16442,-0.49458,1.14149,-1.10962,-0.49028,0.70968,1.664,-0.88495,2.04522,-1.61376,-0.84302,0.90725,1.80319,-0.9984,2.24523,-1.74101,-0.96189,0.92892,1.70704,-1.04861,2.02646,-1.66368,-1.02389,0.83735,1.59698,-1.00846,1.9991,-1.59095,-0.97776,0.86546,0.46154,-9e-05,0.00669,-0.46154,9e-05,-0.00669,1.57253,0.73155,-0.94815,-1.61156,0.68575,-1.5193,0.97801,1.17623,2.28108,-1.01658,1.15899,1.59135,0.82439,1.21575,2.61329,-0.82721,1.23714,1.91379,1.47939,1.57949,2.1911,-1.60275,1.55511,1.43446
22,0,BENAR,-1.36285,0.56157,-1.29363,0.08254,-1.03781,-3.11598,0.1769,-1.12221,-2.95582,0.24691,-1.12247,-2.95913,0.29184,-1.12169,-2.95879,0.01068,-1.12663,-2.97564,-0.04604,-1.13124,-2.97934,-0.08649,-1.13562,-2.98151,0.35123,-1.11229,-1.74115,-0.17947,-1.12834,-1.84751,0.18514,-0.97009,-2.597,-0.01591,-0.9722,-2.64817,0.65914,-0.78632,-0.61584,-0.56265,-0.79605,-0.59938,0.98819,-0.38285,0.70979,-0.94393,-0.40957,0.30309,1.40997,-0.73477,1.69301,-1.3697,-0.70626,0.72415,1.52207,-0.84451,1.87471,-1.47576,-0.80755,0.77625,1.44312,-0.88424,1.67259,-1.40359,-0.85395,0.69051,1.35096,-0.84354,1.65047,-1.33406,-0.81385,0.69431,0.38972,-0.00075,0.00495,-0.38972,0.00075,-0.00495,1.34536,0.58777,-0.83089,-1.36285,0.56157,-1.29363,0.82804,0.96658,1.9189,-0.86497,0.95138,1.35029,0.696,0.99905,2.19737,-0.70612,1.00893,1.6239,1.2501,1.29698,1.81256,-1.35868,1.28348,1.22592
23,0,BENAR,-1.35111,0.53982,-1.34406,0.07374,-0.99634,-3.13832,0.1665,-1.078,-2.97763,0.23461,-1.07986,-2.98088,0.27894,-1.08089,-2.98047,0.00541,-1.08292,-2.99633,-0.04882,-1.08894,-2.99999,-0.08868,-1.0953,-3.00211,0.33671,-1.07729,-1.77572,-0.1784,-1.09273,-1.87815,0.17863,-0.93297,-2.62302,-0.02099,-0.93296,-2.67286,0.65223,-0.76101,-0.66169,-0.56208,-0.76808,-0.62429,0.97863,-0.35475,0.58824,-0.94004,-0.39213,0.52041,1.39513,-0.70287,1.88307,-1.3606,-0.68215,0.8218,1.48536,-0.8065,2.11462,-1.46233,-0.7793,0.8624,1.41092,-0.84665,1.9369,-1.38331,-0.83266,0.78852,1.33296,-0.80938,1.85843,-1.30887,-0.7977,0.79249,0.38179,-0.00504,0.00455,-0.38179,0.00504,-0.00455,1.33255,0.5534,-0.84884,-1.35111,0.53982,-1.34406,0.81957,0.93344,1.80287,-0.86122,0.91659,1.26413,0.6868,0.96665,2.07615,-0.70615,0.96674,1.54177,1.254,1.25997,1.70968,-1.35111,1.24388,1.18346
24,0,BENAR,-1.19063,0.44634,-1.29794,0.06936,-0.86117,-2.90886,0.14807,-0.93396,-2.77494,0.20719,-0.9355,-2.77774,0.24629,-0.93758,-2.77747,0.00756,-0.93996,-2.79755,-0.03969,-0.94501,-2.80071,-0.07472,-0.95077,-2.80263,0.29725,-0.93817,-1.72807,-0.15419,-0.95007,-1.8439,0.16017,-0.79958,-2.46057,-0.01626,-0.80463,-2.5118,0.58513,-0.66532,-0.72893,-0.4967,-0.67182,-0.74877,0.86756,-0.30974,0.44096,-0.83005,-0.34626,0.14568,1.23213,-0.61082,1.58617,-1.19889,-0.60791,0.72559,1.30705,-0.69729,1.75693,-1.28838,-0.69126,0.76143,1.23954,-0.73555,1.5903,-1.21387,-0.73623,0.6962,1.17951,-0.7048,1.55484,-1.14386,-0.70496,0.69971,0.33514,-0.00521,0.00855,-0.33514,0.00521,-0.00855,1.17465,0.45553,-0.87575,-1.19063,0.44634,-1.29794,0.72403,0.79446,1.39587,-0.75981,0.7783,0.95608,0.60589,0.82703,1.63063,-0.62243,0.82193,1.1956,1.1095,1.08096,1.40722,-1.19582,1.06564,0.85128
25,0,BENAR,-1.01109,0.35912,-1.15275,0.06502,-0.72122,-2.6436,0.12748,-0.78291,-2.54076,0.17653,-0.78448,-2.54313,0.20966,-0.78685,-2.54291,0.01058,-0.7876,-2.56219,-0.02861,-0.79168,-2.56495,-0.05909,-0.79615,-2.56656,0.2514,-0.78704,-1.67335,-0.12853,-0.79701,-1.78423,0.13867,-0.67339,-2.26576,-0.00995,-0.67853,-2.31244,0.4995,-0.55786,-0.80463,-0.42354,-0.56335,-0.84775,0.7367,-0.26054,0.25934,-0.70253,-0.28766,-0.01144,1.04577,-0.51226,1.25358,-1.01725,-0.51086,0.62787,1.11113,-0.57979,1.44352,-1.09239,-0.57776,0.71063,1.05382,-0.61477,1.29017,-1.03035,-0.61496,0.63913,1.0038,-0.59045,1.22812,-0.97048,-0.58905,0.61068,0.2844,-0.00581,0.01545,-0.2844,0.00581,-0.01545,0.9954,0.36272,-0.83616,-1.01109,0.35912,-1.15275,0.61548,0.65469,1.11289,-0.64621,0.63866,0.71415,0.51297,0.6854,1.31276,-0.52915,0.67587,0.91461,0.94465,0.89581,1.08223,-1.01893,0.88295,0.64492
26,0,BENAR,-0.88161,0.29457,-1.02231,0.05996,-0.61696,-2.50171,0.11323,-0.67171,-2.41372,0.15552,-0.6731,-2.41581,0.18437,-0.67464,-2.41564,0.01247,-0.67697,-2.43098,-0.02163,-0.68078,-2.43341,-0.04877,-0.6852,-2.43487,0.21902,-0.6763,-1.64393,-0.1107,-0.68758,-1.73423,0.12198,-0.57567,-2.16856,-0.00638,-0.57961,-2.20738,0.43572,-0.48114,-0.84801,-0.36851,-0.48716,-0.90052,0.63743,-0.22921,0.06805,-0.60912,-0.25106,-0.07927,0.90658,-0.44347,0.93623,-0.88788,-0.43383,0.49697,0.9697,-0.50273,1.12754,-0.95212,-0.49406,0.56265,0.92154,-0.5335,0.98172,-0.90633,-0.52819,0.49913,0.87899,-0.51448,0.91268,-0.85989,-0.50433,0.47983,0.24765,-0.00594,0.02889,-0.24765,0.00594,-0.02889,0.86854,0.29825,-0.79969,-0.88161,0.29457,-1.02231,0.53903,0.55552,0.88861,-0.56435,0.54005,0.60353,0.44817,0.58567,1.06233,-0.46165,0.57294,0.77589,0.83445,0.76752,0.87293,-0.88975,0.75375,0.52395
27,0,BENAR,-0.82889,0.25607,-1.01388,0.05918,-0.58177,-2.45467,0.1089,-0.63286,-2.37304,0.1493,-0.63488,-2.37497,0.17637,-0.63676,-2.37488,0.01496,-0.63634,-2.3879,-0.01704,-0.63984,-2.39016,-0.04229,-0.64419,-2.39156,0.20772,-0.63978,-1.64153,-0.10136,-0.64849,-1.72027,0.11767,-0.54383,-2.14037,-0.00305,-0.54747,-2.17437,0.41277,-0.45168,-0.86645,-0.34477,-0.46367,-0.91048,0.59665,-0.22143,-0.00888,-0.5726,-0.24245,-0.11349,0.85356,-0.41923,0.75372,-0.83706,-0.41232,0.44032,0.91843,-0.47863,0.89596,-0.89994,-0.46834,0.50265,0.87046,-0.50782,0.76683,-0.8632,-0.50177,0.43883,0.83204,-0.48784,0.72912,-0.82256,-0.48114,0.42279,0.23224,-0.0041,0.03099,-0.23224,0.0041,-0.03099,0.8145,0.26049,-0.86077,-0.82889,0.25607,-1.01388,0.51335,0.5041,0.75548,-0.52981,0.49256,0.5198,0.42643,0.53405,0.92112,-0.43227,0.52306,0.68116,0.79578,0.70919,0.72914,-0.83856,0.69323,0.43079
28,0,BENAR,-0.83681,0.23962,-1.08128,0.06099,-0.60037,-2.51583,0.11242,-0.65098,-2.42977,0.15423,-0.65295,-2.43175,0.1818,-0.65423,-2.43162,0.01903,-0.65357,-2.44519,-0.0132,-0.65768,-2.44749,-0.03883,-0.66233,-2.4489,0.2129,-0.65497,-1.64435,-0.09917,-0.66581,-1.73006,0.12173,-0.56045,-2.19022,-9e-05,-0.56657,-2.22565,0.4207,-0.46684,-0.86801,-0.34835,-0.47639,-0.89412,0.61097,-0.23383,-0.00908,-0.5811,-0.25807,-0.11293,0.87236,-0.43336,0.76974,-0.84946,-0.43395,0.49752,0.93498,-0.49352,0.91501,-0.91111,-0.49033,0.60336,0.88624,-0.52099,0.78313,-0.87252,-0.52157,0.52891,0.8502,-0.50219,0.74462,-0.83093,-0.50087,0.48371,0.23652,-0.00346,0.0328,-0.23652,0.00346,-0.0328,0.82525,0.24392,-0.92142,-0.83681,0.23962,-1.08128,0.53017,0.49333,0.72654,-0.53608,0.48318,0.54141,0.43987,0.52422,0.8949,-0.43641,0.51318,0.71308,0.81941,0.70439,0.68176,-0.85205,0.68754,0.44733
29,0,BENAR,-0.83696,0.23674,-1.14178,0.06311,-0.60192,-2.51705,0.116,-0.65511,-2.42335,0.15866,-0.65707,-2.42529,0.18705,-0.65791,-2.42524,0.02061,-0.65767,-2.4398,-0.01168,-0.66215,-2.44203,-0.03823,-0.66653,-2.44328,0.21895,-0.65799,-1.64346,-0.09879,-0.66905,-1.72897,0.12468,-0.56219,-2.18544,0.00112,-0.56562,-2.22149,0.4245,-0.47218,-0.86202,-0.35208,-0.47992,-0.8952,0.62533,-0.24586,-0.12597,-0.58627,-0.2623,-0.16601,0.89121,-0.43757,0.48611,-0.85971,-0.43341,0.3174,0.95439,-0.49747,0.60642,-0.92272,-0.48737,0.39357,0.90394,-0.52646,0.48944,-0.88024,-0.52099,0.32391,0.86784,-0.50916,0.46342,-0.83609,-0.49718,0.29973,0.24317,-0.00397,0.03424,-0.24317,0.00397,-0.03424,0.83261,0.2385,-0.95559,-0.83696,0.23674,-1.14178,0.543,0.48916,0.68164,-0.54339,0.48136,0.51412,0.45108,0.52024,0.84863,-0.44195,0.51108,0.6868,0.81395,0.70665,0.63492,-0.86487,0.69099,0.42536
30,0,BENAR,-0.75389,0.20643,-1.11448,0.05637,-0.5488,-2.31928,0.106,-0.59789,-2.23686,0.14485,-0.59957,-2.23861,0.17095,-0.60003,-2.2386,0.01783,-0.60021,-2.25202,-0.01168,-0.60444,-2.25404,-0.03696,-0.60824,-2.25515,0.20023,-0.59933,-1.54654,-0.09227,-0.60973,-1.62062,0.11284,-0.51273,-2.02271,-0.00209,-0.51472,-2.05443,0.38846,-0.43288,-0.8771,-0.32192,-0.44087,-0.92071,0.57089,-0.22478,-0.39227,-0.53136,-0.23875,-0.49835,0.81522,-0.39912,0.05799,-0.78057,-0.39748,-0.3123,0.87334,-0.4507,0.14761,-0.83963,-0.44447,-0.29367,0.82591,-0.47957,0.04665,-0.79594,-0.47508,-0.35245,0.79343,-0.46473,0.03588,-0.75354,-0.45368,-0.33687,0.22264,-0.00335,0.03201,-0.22264,0.00335,-0.03201,0.75523,0.20821,-0.85873,-0.75389,0.20643,-1.11448,0.49525,0.43749,0.52833,-0.49796,0.42731,0.31473,0.41271,0.46634,0.66733,-0.40564,0.45506,0.4678,0.73798,0.6361,0.50476,-0.79128,0.62299,0.27334
31,0,BENAR,-0.75419,0.2006,-1.14906,0.05613,-0.55101,-2.34974,0.10702,-0.59911,-2.26685,0.14566,-0.60042,-2.26858,0.17211,-0.60088,-2.26856,0.01796,-0.60232,-2.27856,-0.01179,-0.60682,-2.28057,-0.03762,-0.61079,-2.28163,0.20198,-0.60011,-1.61826,-0.09392,-0.61176,-1.66651,0.11282,-0.51546,-2.05879,-0.00366,-0.5161,-2.08394,0.39288,-0.4337,-0.88409,-0.32243,-0.44354,-0.91186,0.574,-0.22767,-0.39452,-0.52864,-0.23929,-0.47975,0.81857,-0.39599,0.05837,-0.77386,-0.40183,-0.35231,0.87921,-0.45055,0.14153,-0.84336,-0.44371,-0.34376,0.83086,-0.48022,0.0449,-0.79998,-0.47702,-0.40649,0.79721,-0.46639,0.03614,-0.75563,-0.45821,-0.38004,0.22416,-0.0025,0.03349,-0.22416,0.0025,-0.03349,0.75992,0.2019,-0.85562,-0.75419,0.2006,-1.14906,0.49435,0.4315,0.49843,-0.50111,0.42143,0.28558,0.41357,0.46199,0.63296,-0.40893,0.44905,0.43796,0.73924,0.6309,0.46353,-0.79257,0.62034,0.24218
