nama_dataset,nama_video_mentah,jenis_latihan,camera_view,total_lm_frames,total_zero_filled_lm,persentase_zero_fill_pct,frame_validator_terdampak,persentase_frame_val_terdampak_pct,zero_shoulder,zero_elbow,zero_wrist,zero_hip,zero_knee,zero_ankle
BenchPress_039,primer_benchpress_frontal_subjek01_rep44.mp4,benchpress,frontal,2112,458,21.69,0,0.0,0,0,0,0,128,118
BenchPress_040,primer_benchpress_frontal_subjek01_rep45.mp4,benchpress,frontal,2112,513,24.29,1,1.56,0,1,0,0,128,128
BenchPress_041,primer_benchpress_frontal_subjek01_rep46.mp4,benchpress,frontal,2112,513,24.29,1,1.56,0,1,0,0,128,128
BenchPress_042,primer_benchpress_frontal_subjek01_rep47.mp4,benchpress,frontal,2112,464,21.97,0,0.0,0,0,0,0,128,128
BenchPress_043,primer_benchpress_frontal_subjek01_rep48.mp4,benchpress,frontal,2112,498,23.58,0,0.0,0,0,0,0,128,128
BenchPress_044,primer_benchpress_frontal_subjek01_rep49.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_045,primer_benchpress_frontal_subjek01_rep5.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_046,primer_benchpress_frontal_subjek01_rep50.mp4,benchpress,frontal,2112,497,23.53,0,0.0,0,0,0,0,128,128
BenchPress_047,primer_benchpress_frontal_subjek01_rep51.mp4,benchpress,frontal,2112,522,24.72,10,15.62,0,10,0,0,128,128
BenchPress_048,primer_benchpress_frontal_subjek01_rep52.mp4,benchpress,frontal,2112,518,24.53,6,9.38,0,6,0,0,128,128
BenchPress_049,primer_benchpress_frontal_subjek01_rep53.mp4,benchpress,frontal,2112,519,24.57,21,32.81,0,21,0,0,128,128
BenchPress_050,primer_benchpress_frontal_subjek01_rep54.mp4,benchpress,frontal,2112,505,23.91,18,28.12,0,18,0,0,128,128
BenchPress_051,primer_benchpress_frontal_subjek01_rep55.mp4,benchpress,frontal,2112,519,24.57,29,45.31,0,29,0,0,128,128
BenchPress_052,primer_benchpress_frontal_subjek01_rep56.mp4,benchpress,frontal,2112,519,24.57,7,10.94,0,7,0,0,128,128
BenchPress_053,primer_benchpress_frontal_subjek01_rep57.mp4,benchpress,frontal,2112,526,24.91,14,21.88,0,14,0,0,128,128
BenchPress_054,primer_benchpress_frontal_subjek01_rep6.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_055,primer_benchpress_frontal_subjek01_rep7.mp4,benchpress,frontal,2112,296,14.02,27,42.19,0,27,1,0,55,74
BenchPress_056,primer_benchpress_frontal_subjek01_rep8.mp4,benchpress,frontal,2112,231,10.94,46,71.88,0,38,29,0,0,0
BenchPress_057,primer_benchpress_frontal_subjek01_rep9.mp4,benchpress,frontal,2112,111,5.26,22,34.38,0,22,22,0,0,3
BenchPress_058,primer_benchpress_frontal_subjek02_rep1.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_059,primer_benchpress_frontal_subjek02_rep10.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_060,primer_benchpress_frontal_subjek02_rep11.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_061,primer_benchpress_frontal_subjek02_rep12.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_062,primer_benchpress_frontal_subjek02_rep13.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_063,primer_benchpress_frontal_subjek02_rep14.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_064,primer_benchpress_frontal_subjek02_rep15.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_065,primer_benchpress_frontal_subjek02_rep16.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_066,primer_benchpress_frontal_subjek02_rep17.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_067,primer_benchpress_frontal_subjek02_rep18.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_068,primer_benchpress_frontal_subjek02_rep19.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_069,primer_benchpress_frontal_subjek02_rep2.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_070,primer_benchpress_frontal_subjek02_rep20.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_071,primer_benchpress_frontal_subjek02_rep21.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_072,primer_benchpress_frontal_subjek02_rep22.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_073,primer_benchpress_frontal_subjek02_rep23.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_074,primer_benchpress_frontal_subjek02_rep24.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_075,primer_benchpress_frontal_subjek02_rep25.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_076,primer_benchpress_frontal_subjek02_rep26.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_077,primer_benchpress_frontal_subjek02_rep27.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_078,primer_benchpress_frontal_subjek02_rep28.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_079,primer_benchpress_frontal_subjek02_rep3.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_080,primer_benchpress_frontal_subjek02_rep4.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_081,primer_benchpress_frontal_subjek02_rep5.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_082,primer_benchpress_frontal_subjek02_rep6.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_083,primer_benchpress_frontal_subjek02_rep7.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_084,primer_benchpress_frontal_subjek02_rep8.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_085,primer_benchpress_frontal_subjek02_rep9.mp4,benchpress,frontal,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_086,primer_benchpress_frontal_subjek03_rep1.mp4,benchpress,frontal,2112,462,21.88,0,0.0,0,0,0,0,78,128
BenchPress_087,primer_benchpress_frontal_subjek03_rep10.mp4,benchpress,frontal,2112,388,18.37,0,0.0,0,0,0,0,4,128
BenchPress_088,primer_benchpress_frontal_subjek03_rep11.mp4,benchpress,frontal,2112,465,22.02,0,0.0,0,0,0,0,81,128
