scenario,n_videos,target_focus_ratio_mean,topk_hit_ratio_mean,occlusion_target_drop_ratio_mean,gradient_target_ratio_mean,confidence_mean,target_focus_ratio_mean_norm,topk_hit_ratio_mean_norm,occlusion_target_drop_ratio_mean_norm,gradient_target_ratio_mean_norm,novelty_evidence_score
Ablasi C - Tanpa Temporal,507,0.21058720619645444,0.338560157790927,0.16339396698617525,0.19863436216132105,0.9901629388920183,1.0,1.0,1.0,0.5891257436689468,0.8972814359172367
Full Model (Final),507,0.189763389500263,0.2217948717948718,-0.05079798179523672,0.206979377789709,0.8837035813275174,0.5788846509881881,0.5503228256741362,0.0,1.0,0.5323018691655811
Ablasi A - Tanpa Prior,507,0.18172683911494122,0.17317554240631164,0.002817729135312215,0.19842545276423568,0.9097112306711471,0.41636330489005596,0.3630839346752754,0.25031618245028,0.5788399039545158,0.4021508314925318
Ablasi B - Tanpa Learned Spatial,507,0.18723527399817058,0.15779092702169625,-0.023492555061113553,0.18666898963615153,0.7567129398473856,0.5277591413115429,0.3038359285985568,0.12748110696723253,0.0,0.23976904421933304
Baseline 3D-CNN,507,0.16113800719419402,0.07889546351084813,0.07765493378435144,0.19057347430271032,0.9533995898987885,0.0,0.0,0.5997093556055061,0.19224077043918536,0.19798753151117288
