frame_index,joint_order,joint_name,x_px,y_px,x_px_mp,y_px_mp,torso_px,error_px,error_norm_torso
0,0,left_shoulder,377.1,613.5,715,640,455.21533366089506,338.93754586944186,0.7445653096605214
0,0,left_shoulder,735.0,613.27,715,640,455.21533366089506,33.38402162711978,0.07333676868624255
0,0,left_shoulder,319.46,855.83,715,640,455.21533366089506,450.5934758737636,0.9898468758730908
0,0,left_shoulder,791.33,858.02,715,640,455.21533366089506,230.9956477944985,0.5074425897229876
0,0,left_shoulder,170.21,667.83,715,640,455.21533366089506,545.5003693857594,1.1983347858666833
0,0,left_shoulder,930.14,677.13,715,640,455.21533366089506,218.32053613895326,0.4795983790422742
0,0,left_shoulder,400.16,981.97,715,640,455.21533366089506,464.8308364340731,1.0211229764512741
0,0,left_shoulder,686.71,986.63,715,640,455.21533366089506,347.78251968723214,0.7639956169541222
0,0,left_shoulder,380.2,1396.59,715,640,455.21533366089506,827.3569169953195,1.8175066958786694
0,0,left_shoulder,699.53,1405.57,715,640,455.21533366089506,765.7262864757876,1.682118834437599
0,0,left_shoulder,330.6,1768.8,715,640,455.21533366089506,1192.4566239490641,2.619544061398785
0,0,left_shoulder,755.25,1775.2,715,640,455.21533366089506,1135.9133340620665,2.495331879369964
0,0,left_shoulder,377.1,617.46,715,640,455.21533366089506,338.65094359827197,0.7439357125226899
0,0,left_shoulder,731.04,615.91,715,640,455.21533366089506,28.941487522240465,0.06357757610994698
0,0,left_shoulder,319.24,859.13,715,640,455.21533366089506,452.3758774514839,0.9937623889191607
0,0,left_shoulder,790.67,860.88,715,640,455.21533366089506,233.4821691264667,0.5129048866802788
0,0,left_shoulder,171.86,672.45,715,640,455.21533366089506,544.1085021390495,1.1952771840158924
0,0,left_shoulder,929.15,683.4,715,640,455.21533366089506,218.50350683684687,0.48000032222029093
0,0,left_shoulder,401.81,984.27,715,640,455.21533366089506,465.41358918707994,1.0224031458786094
0,0,left_shoulder,685.72,988.94,715,640,455.21533366089506,350.16630620320973,0.7692322299144259
0,0,left_shoulder,375.25,1400.88,715,640,455.21533366089506,833.2877275587348,1.8305352784523694
0,0,left_shoulder,705.14,1409.86,715,640,455.21533366089506,769.9231385014999,1.6913383218216482
0,0,left_shoulder,330.73,1768.8,715,640,455.21533366089506,1192.414723533721,2.6194520161352695
0,0,left_shoulder,755.38,1775.2,715,640,455.21533366089506,1135.9179479170139,2.495342014913752
0,0,left_shoulder,377.1,621.42,715,640,455.21533366089506,338.4104407372798,0.7434073848430004
0,0,left_shoulder,727.08,618.55,715,640,455.21533366089506,24.617654234309228,0.05407914104371478
0,0,left_shoulder,319.02,862.43,715,640,455.21533366089506,454.1753684426314,0.9977154433487551
0,0,left_shoulder,790.01,863.74,715,640,455.21533366089506,235.97899842994505,0.518389827803414
0,0,left_shoulder,173.51,677.07,715,640,455.21533366089506,542.7574089775284,1.192309153148708
0,0,left_shoulder,928.16,689.67,715,640,455.21533366089506,218.8704970981699,0.48080651268485997
0,0,left_shoulder,403.46,986.58,715,640,455.21533366089506,466.02024419546416,1.0237358228855666
0,0,left_shoulder,684.73,991.25,715,640,455.21533366089506,352.5518903650922,0.7744727918759428
0,0,left_shoulder,370.3,1405.17,715,640,455.21533366089506,839.2277515073009,1.8435841006455846
0,0,left_shoulder,710.75,1414.15,715,640,455.21533366089506,774.1616659328981,1.700649360176423
0,0,left_shoulder,330.86,1768.8,715,640,455.21533366089506,1192.372835819401,2.619359998772886
0,0,left_shoulder,755.51,1775.2,715,640,455.21533366089506,1135.9225766309955,2.4953521830993104
0,0,left_shoulder,377.1,625.38,715,640,455.21533366089506,338.2161356292748,0.7429805426572541
0,0,left_shoulder,723.12,621.19,715,640,455.21533366089506,20.487813450927312,0.045006861447662395
0,0,left_shoulder,318.8,865.73,715,640,455.21533366089506,455.9917465261844,1.0017055947106293
0,0,left_shoulder,789.35,866.6,715,640,455.21533366089506,238.48581194695842,0.5238967018729962
0,0,left_shoulder,175.16,681.69,715,640,455.21533366089506,541.4473951364066,1.1894313637944118
0,0,left_shoulder,927.17,695.94,715,640,455.21533366089506,219.42058358321808,0.4820149220778923
0,0,left_shoulder,405.11,988.89,715,640,455.21533366089506,466.6433801094793,1.0251047045289063
0,0,left_shoulder,683.74,993.56,715,640,455.21533366089506,354.9392359263765,0.7797172232137121
0,0,left_shoulder,365.35,1409.46,715,640,455.21533366089506,845.1767945820567,1.8566527357175029
0,0,left_shoulder,716.35,1418.44,715,640,455.21533366089506,778.4411706095716,1.7100504158092753
0,0,left_shoulder,330.99,1768.8,715,640,455.21533366089506,1192.3309608074428,2.6192680093145753
0,0,left_shoulder,755.64,1775.2,715,640,455.21533366089506,1135.9272202038298,2.49536238392624
