frame_index,timestamp_sec,landmark_index,landmark_name,x_norm,y_norm,z_rel,visibility,pose_detected
0,0.0,0,nose,0.5226050615310669,0.23417696356773376,-0.24443526566028595,0.9999743700027466,True
0,0.0,1,left_eye_inner,0.5447321534156799,0.21436768770217896,-0.20742394030094147,0.999915599822998,True
0,0.0,2,left_eye,0.5575803518295288,0.2154538333415985,-0.20804165303707123,0.9998974800109863,True
0,0.0,3,left_eye_outer,0.5680419206619263,0.2168443202972412,-0.2081069052219391,0.9999223947525024,True
0,0.0,4,right_eye_inner,0.5023149251937866,0.21344314515590668,-0.21448244154453278,0.9999556541442871,True
0,0.0,5,right_eye,0.48739057779312134,0.2139587700366974,-0.2153262495994568,0.9999548196792603,True
0,0.0,6,right_eye_outer,0.47540315985679626,0.21527880430221558,-0.21566693484783173,0.9999605417251587,True
0,0.0,7,left_ear,0.5843346118927002,0.22572821378707886,0.01183924451470375,0.9999504089355469,True
0,0.0,8,right_ear,0.45664411783218384,0.22663554549217224,-0.01724708266556263,0.9999244213104248,True
0,0.0,9,mouth_left,0.546341061592102,0.25560539960861206,-0.15617051720619202,0.9999494552612305,True
0,0.0,10,mouth_right,0.4975777566432953,0.25581926107406616,-0.16961784660816193,0.9999449253082275,True
0,0.0,11,left_shoulder,0.661607563495636,0.3332037329673767,0.11391402035951614,0.9999563694000244,True
0,0.0,12,right_shoulder,0.36931875348091125,0.331412136554718,0.11036404967308044,0.9999105930328369,True
0,0.0,13,left_elbow,0.7360005974769592,0.4478181302547455,0.011105840094387531,0.9419535398483276,True
0,0.0,14,right_elbow,0.2909161150455475,0.4372040331363678,-0.07092403620481491,0.8924267292022705,True
0,0.0,15,left_wrist,0.8499941229820251,0.36497199535369873,-0.29720237851142883,0.9703814387321472,True
0,0.0,16,right_wrist,0.17700201272964478,0.36339691281318665,-0.41989800333976746,0.9820844531059265,True
0,0.0,17,left_pinky,0.8599621057510376,0.34139788150787354,-0.3417278528213501,0.9619002342224121,True
0,0.0,18,right_pinky,0.1503008008003235,0.3445498049259186,-0.4790087640285492,0.9844437837600708,True
0,0.0,19,left_index,0.8483436107635498,0.3327392339706421,-0.3754459321498871,0.9615950584411621,True
0,0.0,20,right_index,0.16202455759048462,0.3338954746723175,-0.5117126107215881,0.984240710735321,True
0,0.0,21,left_thumb,0.8371067047119141,0.3411799669265747,-0.3175675868988037,0.9535375237464905,True
0,0.0,22,right_thumb,0.1778082549571991,0.339645653963089,-0.44748443365097046,0.9810051321983337,True
0,0.0,23,left_hip,0.587370753288269,0.5703991055488586,-0.009756074286997318,0.999984622001648,True
0,0.0,24,right_hip,0.41804713010787964,0.5681493282318115,0.009145489893853664,0.9999825954437256,True
0,0.0,25,left_knee,0.6530478000640869,0.7444462180137634,-0.038866762071847916,0.9815011620521545,True
0,0.0,26,right_knee,0.3622426390647888,0.7426798343658447,-0.0393720418214798,0.9767040014266968,True
