movement,video_name,scenario,prediction,prediction_label,confidence,attention_source,target_focus_ratio,topk_hit_count,topk_hit_ratio,topk_joints,occlusion_target_drop_ratio,gradient_target_ratio,original_frame_count,sampled_frame_count
Squat,primer_squat_frontal_subjek01_rep13.mp4,Full Model (Final),0,Form Benar,0.9145058989524841,fused,0.15065407822942592,2,0.5,"26,29,25,28,27",-0.0018295456115619009,0.15517727869965092,214,64
Squat,primer_squat_frontal_subjek01_rep14.mp4,Baseline 3D-CNN,1,Form Salah,0.8860883116722107,neutral,0.12121212113865931,0,0.0,"32,15,1,2,3",-0.2057883884625518,0.16099386691832482,136,64
Squat,primer_squat_frontal_subjek01_rep14.mp4,Ablasi A - Tanpa Prior,0,Form Benar,0.9958325028419495,learned,0.15384259195931196,1,0.25,"5,4,6,7,23",0.19940628479955602,0.1403764374015742,136,64
Squat,primer_squat_frontal_subjek01_rep14.mp4,Ablasi B - Tanpa Learned Spatial,1,Form Salah,0.5128141045570374,prior,0.09900956963440602,0,0.0,"20,13,22,21,16",-0.16842398699963754,0.13494863507445481,136,64
Squat,primer_squat_frontal_subjek01_rep14.mp4,Ablasi C - Tanpa Temporal,1,Form Salah,0.9983540773391724,fused,0.1987882603642008,2,0.5,"28,27,25,29,26",-0.03818454737351991,0.1443260573532164,136,64
Squat,primer_squat_frontal_subjek01_rep14.mp4,Full Model (Final),0,Form Benar,0.8740142583847046,fused,0.15398215134711613,2,0.5,"29,26,25,28,27",0.009349802406223299,0.1494649114299305,136,64
Squat,primer_squat_frontal_subjek01_rep15.mp4,Baseline 3D-CNN,1,Form Salah,0.8672404885292053,neutral,0.12121212113865931,0,0.0,"32,15,1,2,3",-0.21501163486354033,0.16122857705724736,112,64
Squat,primer_squat_frontal_subjek01_rep15.mp4,Ablasi A - Tanpa Prior,0,Form Benar,0.9967401623725891,learned,0.15975890514095037,1,0.25,"5,4,6,27,26",0.23003107757107935,0.14376499819719732,112,64
Squat,primer_squat_frontal_subjek01_rep15.mp4,Ablasi B - Tanpa Learned Spatial,1,Form Salah,0.5231384634971619,prior,0.09900956963440602,0,0.0,"20,13,22,21,16",-0.1684677204095186,0.141455789774041,112,64
Squat,primer_squat_frontal_subjek01_rep15.mp4,Ablasi C - Tanpa Temporal,1,Form Salah,0.9985326528549194,fused,0.19815275701020693,2,0.5,"28,27,29,25,26",-0.05344499721909102,0.1466131762623323,112,64
Squat,primer_squat_frontal_subjek01_rep15.mp4,Full Model (Final),0,Form Benar,0.8950319290161133,fused,0.15437432350249328,2,0.5,"29,26,28,25,27",0.013278933284302727,0.14823426012320692,112,64
Squat,primer_squat_frontal_subjek01_rep16.mp4,Baseline 3D-CNN,1,Form Salah,0.8334395885467529,neutral,0.12121212113865931,0,0.0,"32,15,1,2,3",-0.2022628125398032,0.16752104488811098,150,64
Squat,primer_squat_frontal_subjek01_rep16.mp4,Ablasi A - Tanpa Prior,0,Form Benar,0.9960708618164062,learned,0.1534790524245178,1,0.25,"5,4,6,7,23",0.17650562514035265,0.13515150852187152,150,64
Squat,primer_squat_frontal_subjek01_rep16.mp4,Ablasi B - Tanpa Learned Spatial,0,Form Benar,0.5622269511222839,prior,0.09900956963440602,0,0.0,"20,13,22,21,16",0.15000340210918414,0.13705542613181462,150,64
Squat,primer_squat_frontal_subjek01_rep16.mp4,Ablasi C - Tanpa Temporal,1,Form Salah,0.9976356029510498,fused,0.20090046708223822,2,0.5,"28,27,25,29,26",-0.029175072226358185,0.14533285114823327,150,64
Squat,primer_squat_frontal_subjek01_rep16.mp4,Full Model (Final),0,Form Benar,0.9047151803970337,fused,0.15092759087323715,2,0.5,"26,29,25,28,27",-0.006769073593781769,0.1568013312480153,150,64
Squat,primer_squat_frontal_subjek01_rep17.mp4,Baseline 3D-CNN,1,Form Salah,0.9127224087715149,neutral,0.12121212113865931,0,0.0,"32,15,1,2,3",-0.20237011412706077,0.1605923477968806,123,64
Squat,primer_squat_frontal_subjek01_rep17.mp4,Ablasi A - Tanpa Prior,0,Form Benar,0.9965194463729858,learned,0.15516025893035562,1,0.25,"5,4,6,7,23",0.1824115928183857,0.14221428185741453,123,64
Squat,primer_squat_frontal_subjek01_rep17.mp4,Ablasi B - Tanpa Learned Spatial,1,Form Salah,0.5823839902877808,prior,0.09900956963440602,0,0.0,"20,13,22,21,16",-0.17589098894586694,0.1359672675612205,123,64
Squat,primer_squat_frontal_subjek01_rep17.mp4,Ablasi C - Tanpa Temporal,1,Form Salah,0.9988154172897339,fused,0.19812327159079762,2,0.5,"28,27,25,29,26",-0.03756132616003638,0.14371616219967143,123,64
Squat,primer_squat_frontal_subjek01_rep17.mp4,Full Model (Final),0,Form Benar,0.8332011699676514,fused,0.1539607875236127,2,0.5,"26,29,25,28,27",-0.004257845139232684,0.15252860184546,123,64
Squat,primer_squat_frontal_subjek01_rep18.mp4,Baseline 3D-CNN,1,Form Salah,0.8646200895309448,neutral,0.12121212113865931,0,0.0,"32,15,1,2,3",-0.20541959210421368,0.1635516823744247,158,64
Squat,primer_squat_frontal_subjek01_rep18.mp4,Ablasi A - Tanpa Prior,0,Form Benar,0.9967940449714661,learned,0.146546403254491,0,0.0,"5,4,6,7,8",0.1659139688403803,0.1353952552753386,158,64
Squat,primer_squat_frontal_subjek01_rep18.mp4,Ablasi B - Tanpa Learned Spatial,0,Form Benar,0.540249764919281,prior,0.09900956963440602,0,0.0,"20,13,22,21,16",0.17421611248095684,0.1375606705072148,158,64
