frame_index,landmark_index,landmark_name,x_raw,y_raw,z_raw,visibility,is_low_confidence,is_missing,interpolation_status,x_final,y_final,z_final
1,19,left_index,0.84836,0.334031,-1.04798,0.962232,False,False,original,0.84836,0.334031,-1.04798
1,20,right_index,0.166861,0.3339,-1.146187,0.983266,False,False,original,0.166861,0.3339,-1.146187
1,21,left_thumb,0.837738,0.341446,-0.917177,0.953252,False,False,original,0.837738,0.341446,-0.917177
1,22,right_thumb,0.180384,0.339639,-1.013541,0.979287,False,False,original,0.180384,0.339639,-1.013541
1,23,left_hip,0.588056,0.570547,-0.005948,0.999983,False,False,original,0.588056,0.570547,-0.005948
1,24,right_hip,0.417931,0.568126,0.005485,0.999981,False,False,original,0.417931,0.568126,0.005485
1,25,left_knee,0.653047,0.745171,-0.006466,0.982462,False,False,original,0.653047,0.745171,-0.006466
1,26,right_knee,0.362241,0.743863,-0.039245,0.977672,False,False,original,0.362241,0.743863,-0.039245
1,27,left_ankle,0.696812,0.910988,0.422388,0.974117,False,False,original,0.696812,0.910988,0.422388
1,28,right_ankle,0.316219,0.905803,0.368434,0.98419,False,False,original,0.316219,0.905803,0.368434
1,29,left_heel,0.675551,0.935484,0.443175,0.832112,False,False,original,0.675551,0.935484,0.443175
1,30,right_heel,0.33619,0.929864,0.394794,0.884023,False,False,original,0.33619,0.929864,0.394794
1,31,left_foot_index,0.776055,0.992794,0.103137,0.958892,False,False,original,0.776055,0.992794,0.103137
1,32,right_foot_index,0.226696,0.986632,0.067704,0.96757,False,False,original,0.226696,0.986632,0.067704
2,0,nose,0.522827,0.23501,-0.719674,0.999974,False,False,original,0.522827,0.23501,-0.719674
2,1,left_eye_inner,0.544897,0.216308,-0.658502,0.99992,False,False,original,0.544897,0.216308,-0.658502
2,2,left_eye,0.557656,0.216792,-0.659259,0.999903,False,False,original,0.557656,0.216792,-0.659259
2,3,left_eye_outer,0.569811,0.217531,-0.659152,0.999925,False,False,original,0.569811,0.217531,-0.659152
2,4,right_eye_inner,0.502687,0.214858,-0.66273,0.999957,False,False,original,0.502687,0.214858,-0.66273
2,5,right_eye,0.48857,0.214803,-0.663603,0.999956,False,False,original,0.48857,0.214803,-0.663603
2,6,right_eye_outer,0.477081,0.215406,-0.664104,0.999962,False,False,original,0.477081,0.215406,-0.664104
2,7,left_ear,0.584258,0.225687,-0.288241,0.999949,False,False,original,0.584258,0.225687,-0.288241
2,8,right_ear,0.456761,0.225784,-0.306176,0.999922,False,False,original,0.456761,0.225784,-0.306176
2,9,mouth_left,0.546421,0.255662,-0.574066,0.999949,False,False,original,0.546421,0.255662,-0.574066
2,10,mouth_right,0.498592,0.255391,-0.584852,0.999944,False,False,original,0.498592,0.255391,-0.584852
2,11,left_shoulder,0.6628,0.334339,-0.051232,0.999948,False,False,original,0.6628,0.334339,-0.051232
2,12,right_shoulder,0.370459,0.331371,-0.068481,0.999897,False,False,original,0.370459,0.331371,-0.068481
2,13,left_elbow,0.736898,0.448912,-0.293838,0.941796,False,False,original,0.736898,0.448912,-0.293838
2,14,right_elbow,0.292207,0.440073,-0.384533,0.893347,False,False,original,0.292207,0.440073,-0.384533
2,15,left_wrist,0.846968,0.365102,-0.925112,0.971781,False,False,original,0.846968,0.365102,-0.925112
2,16,right_wrist,0.180705,0.363622,-1.053139,0.981618,False,False,original,0.180705,0.363622,-1.053139
2,17,left_pinky,0.857482,0.345416,-1.044477,0.963159,False,False,original,0.857482,0.345416,-1.044477
2,18,right_pinky,0.160423,0.344383,-1.194938,0.982962,False,False,original,0.160423,0.344383,-1.194938
2,19,left_index,0.848462,0.33458,-1.091421,0.962774,False,False,original,0.848462,0.33458,-1.091421
2,20,right_index,0.168986,0.333922,-1.221995,0.98267,False,False,original,0.168986,0.333922,-1.221995
2,21,left_thumb,0.838765,0.341545,-0.95908,0.952918,False,False,original,0.838765,0.341545,-0.95908
2,22,right_thumb,0.181167,0.33966,-1.08737,0.978079,False,False,original,0.181167,0.33966,-1.08737
2,23,left_hip,0.588604,0.570947,-0.000244,0.999982,False,False,original,0.588604,0.570947,-0.000244
2,24,right_hip,0.417778,0.568245,-0.000111,0.99998,False,False,original,0.417778,0.568245,-0.000111
2,25,left_knee,0.653036,0.745428,0.007204,0.983513,False,False,original,0.653036,0.745428,0.007204
2,26,right_knee,0.361908,0.743975,-0.042438,0.97889,False,False,original,0.361908,0.743975,-0.042438
2,27,left_ankle,0.696764,0.911001,0.458731,0.976227,False,False,original,0.696764,0.911001,0.458731
2,28,right_ankle,0.316353,0.905731,0.392192,0.985242,False,False,original,0.316353,0.905731,0.392192
2,29,left_heel,0.675707,0.935644,0.480872,0.844081,False,False,original,0.675707,0.935644,0.480872
2,30,right_heel,0.337622,0.929837,0.420501,0.890343,False,False,original,0.337622,0.929837,0.420501
2,31,left_foot_index,0.77394,0.99247,0.128204,0.962091,False,False,original,0.77394,0.99247,0.128204
2,32,right_foot_index,0.225635,0.986605,0.081701,0.969554,False,False,original,0.225635,0.986605,0.081701
3,0,nose,0.523071,0.235722,-0.810233,0.999975,False,False,original,0.523071,0.235722,-0.810233
3,1,left_eye_inner,0.545067,0.217107,-0.749072,0.999923,False,False,original,0.545067,0.217107,-0.749072
3,2,left_eye,0.55786,0.217451,-0.749865,0.999907,False,False,original,0.55786,0.217451,-0.749865
3,3,left_eye_outer,0.570812,0.218039,-0.749752,0.999927,False,False,original,0.570812,0.218039,-0.749752
3,4,right_eye_inner,0.502792,0.215549,-0.752854,0.999958,False,False,original,0.502792,0.215549,-0.752854
3,5,right_eye,0.488959,0.21539,-0.753722,0.999958,False,False,original,0.488959,0.21539,-0.753722
3,6,right_eye_outer,0.477651,0.215801,-0.754227,0.999963,False,False,original,0.477651,0.215801,-0.754227
3,7,left_ear,0.584523,0.225762,-0.368311,0.99995,False,False,original,0.584523,0.225762,-0.368311
3,8,right_ear,0.457058,0.225809,-0.384594,0.999922,False,False,original,0.457058,0.225809,-0.384594
3,9,mouth_left,0.546717,0.255975,-0.660242,0.999949,False,False,original,0.546717,0.255975,-0.660242
3,10,mouth_right,0.49915,0.255505,-0.670455,0.999945,False,False,original,0.49915,0.255505,-0.670455
3,11,left_shoulder,0.663327,0.334913,-0.117589,0.999944,False,False,original,0.663327,0.334913,-0.117589
3,12,right_shoulder,0.370528,0.331417,-0.133046,0.999891,False,False,original,0.370528,0.331417,-0.133046
3,13,left_elbow,0.736719,0.450282,-0.375834,0.941869,False,False,original,0.736719,0.450282,-0.375834
3,14,right_elbow,0.292207,0.443245,-0.46935,0.893823,False,False,original,0.292207,0.443245,-0.46935
3,15,left_wrist,0.84667,0.365289,-1.032296,0.9725,False,False,original,0.84667,0.365289,-1.032296
3,16,right_wrist,0.18221,0.365298,-1.168915,0.981235,False,False,original,0.18221,0.365298,-1.168915
3,17,left_pinky,0.857067,0.346423,-1.158975,0.964061,False,False,original,0.857067,0.346423,-1.158975
3,18,right_pinky,0.161472,0.345369,-1.318834,0.982226,False,False,original,0.161472,0.345369,-1.318834
3,19,left_index,0.848767,0.335308,-1.208346,0.963667,False,False,original,0.848767,0.335308,-1.208346
3,20,right_index,0.169992,0.334956,-1.346359,0.981891,False,False,original,0.169992,0.334956,-1.346359
3,21,left_thumb,0.840505,0.341874,-1.067986,0.953116,False,False,original,0.840505,0.341874,-1.067986
3,22,right_thumb,0.182098,0.340938,-1.204279,0.976635,False,False,original,0.182098,0.340938,-1.204279
3,23,left_hip,0.588619,0.571911,0.001588,0.999981,False,False,original,0.588619,0.571911,0.001588
3,24,right_hip,0.416957,0.569135,-0.001902,0.999979,False,False,original,0.416957,0.569135,-0.001902
3,25,left_knee,0.653023,0.745272,0.003784,0.984558,False,False,original,0.653023,0.745272,0.003784
3,26,right_knee,0.360995,0.743928,-0.046913,0.9801,False,False,original,0.360995,0.743928,-0.046913
3,27,left_ankle,0.696741,0.911059,0.436635,0.978257,False,False,original,0.696741,0.911059,0.436635
3,28,right_ankle,0.316648,0.905703,0.38543,0.986299,False,False,original,0.316648,0.905703,0.38543
3,29,left_heel,0.675746,0.936272,0.456104,0.856011,False,False,original,0.675746,0.936272,0.456104
3,30,right_heel,0.338993,0.929899,0.412594,0.89724,False,False,original,0.338993,0.929899,0.412594
3,31,left_foot_index,0.771759,0.992229,0.109744,0.965223,False,False,original,0.771759,0.992229,0.109744
3,32,right_foot_index,0.225089,0.98652,0.07371,0.971618,False,False,original,0.225089,0.98652,0.07371
4,0,nose,0.523186,0.236535,-0.774593,0.999974,False,False,original,0.523186,0.236535,-0.774593
4,1,left_eye_inner,0.545269,0.218,-0.712762,0.999924,False,False,original,0.545269,0.218,-0.712762
4,2,left_eye,0.558014,0.218369,-0.713538,0.999909,False,False,original,0.558014,0.218369,-0.713538
4,3,left_eye_outer,0.571401,0.21899,-0.713424,0.999927,False,False,original,0.571401,0.21899,-0.713424
4,4,right_eye_inner,0.502987,0.216511,-0.715898,0.999958,False,False,original,0.502987,0.216511,-0.715898
4,5,right_eye,0.489268,0.216328,-0.716756,0.999958,False,False,original,0.489268,0.216328,-0.716756
4,6,right_eye_outer,0.477988,0.216773,-0.717245,0.999963,False,False,original,0.477988,0.216773,-0.717245
4,7,left_ear,0.584521,0.22655,-0.337312,0.999949,False,False,original,0.584521,0.22655,-0.337312
4,8,right_ear,0.457094,0.226373,-0.35091,0.999921,False,False,original,0.457094,0.226373,-0.35091
4,9,mouth_left,0.546886,0.256713,-0.627077,0.999948,False,False,original,0.546886,0.256713,-0.627077
